name,name:en,name:ja-Latn,name:ja,name:ja-Hira,name:es,name:zh,Jurisdiction,AreaName,ID,CD,address,addr:province,addr:city,addre:quarter,addr:neighbourhood,addr:block_number,addr:housenumber,access,memo,latitude,longitude
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-1,213005002,大和市下鶴間二丁目２ ,神奈川県,大和市,下鶴間,二丁目,2,,長堀２号公園,公設,35.49076209,139.4608397
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-2,213014000,大和市深見５０１－１ ,神奈川県,大和市,深見,,501,1,,公設,35.48829328,139.4653707
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-3,213024002,大和市深見東二丁目３－１５ ,神奈川県,大和市,深見東,二丁目,3,15,,公設,35.48202045,139.4663304
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-4,213012001,大和市鶴間一丁目５－１１ ,神奈川県,大和市,鶴間,一丁目,5,11,鶴間台自治会館,公設,35.48867611,139.4539593
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-5,213023002,大和市深見西二丁目４－３４ ,神奈川県,大和市,深見西,二丁目,4,34,,公設,35.47624507,139.463416
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-6,213012001,大和市鶴間一丁目２４－１０ ,神奈川県,大和市,鶴間,一丁目,24,10,,公設,35.48763142,139.4556134
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-7,213012001,大和市鶴間一丁目１８ ,神奈川県,大和市,鶴間,一丁目,18,,市営鶴間台住宅,公設,35.48622594,139.4541289
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-8,213023007,大和市深見西七丁目５ ,神奈川県,大和市,深見西,七丁目,5,,市立大和中学校,公設,35.48644537,139.456314
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-9,213014000,大和市深見６７７ ,神奈川県,大和市,深見,,677,,,公設,35.48679964,139.4680917
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-10,213023003,大和市深見西三丁目１－１１ ,神奈川県,大和市,深見西,三丁目,1,11,,公設,35.47856823,139.4573593
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-11,213005001,大和市下鶴間一丁目１－１ ,神奈川県,大和市,下鶴間,一丁目,1,1,大和市役所,公設,35.48695386,139.4575142
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-12,213023003,大和市深見西三丁目１－２２ ,神奈川県,大和市,深見西,三丁目,1,22,,公設,35.47914286,139.4590581
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-13,213023002,大和市深見西二丁目７－４１ ,神奈川県,大和市,深見西,二丁目,7,41,,公設,35.47813379,139.462889
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-14,213012001,大和市鶴間一丁目１３ ,神奈川県,大和市,鶴間,一丁目,13,,分団機械器具置場,公設,35.48724511,139.4537866
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-15,213023001,大和市深見西一丁目４－１９ ,神奈川県,大和市,深見西,一丁目,4,19,,公設,35.47705813,139.4598987
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-16,213014000,大和市深見５０８－１ ,神奈川県,大和市,深見,,508,1,,公設,35.48682119,139.4657149
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-17,213023006,大和市深見西六丁目２４ ,神奈川県,大和市,深見西,六丁目,24,,ライオンズマンション大和B棟,公設,35.48532116,139.4629776
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-18,213005002,大和市下鶴間二丁目５－２２ ,神奈川県,大和市,下鶴間,二丁目,5,22,大和原自治会館,公設,35.48830365,139.4618356
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-19,213005002,大和市下鶴間二丁目１１－１４ ,神奈川県,大和市,下鶴間,二丁目,11,14,大和原１号公園,公設,35.49084383,139.4624237
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-20,213023004,大和市深見西四丁目８－２８ ,神奈川県,大和市,深見西,四丁目,8,28,木もれ日公園21世樹,公設,35.48239638,139.4642382
防火水槽,Water Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-22,213014000,大和市深見４８４－１ ,神奈川県,大和市,深見,,484,,一之関公園,公設,35.48879233,139.4656423
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-23,213023004,大和市深見西四丁目６ ,神奈川県,大和市,深見西,四丁目,6,,庚申塚公園,公設,35.48239659,139.4624536
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-24,213023008,大和市深見西八丁目４ ,神奈川県,大和市,深見西,八丁目,4,,なぎ原１号公園,公設,35.48572479,139.4597052
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署１管区,020-101-25,213012001,大和市鶴間一丁目３０６１－７ ,神奈川県,大和市,鶴間,一丁目,3061,7,鶴間2号公園,公設,35.48753643,139.4547427
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-2,213020003,大和市大和東三丁目９－１ ,神奈川県,大和市,大和東,三丁目,9,1,ハマヤスポ－ツ,公設,35.47299163,139.4624845
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-3,213015004,大和市深見台四丁目２－１０ ,神奈川県,大和市,深見台,四丁目,2,10,,公設,35.47236988,139.4666855
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-4,213014000,大和市深見２２４２ ,神奈川県,大和市,深見,,2242,,深見台第二アパ－ト,公設,35.47171004,139.469622
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-5,213015004,大和市深見台四丁目１ ,神奈川県,大和市,深見台,四丁目,1,,しんわ自治会館,公設,35.47142396,139.4662294
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-6,213020001,大和市大和東一丁目８－１ ,神奈川県,大和市,大和東,一丁目,8,1,横浜銀行大和支店,公設,35.47013118,139.46214
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-7,213015002,大和市深見台二丁目１０－２３ ,神奈川県,大和市,深見台,二丁目,10,23,,公設,35.46956242,139.4696282
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-9,213015002,大和市深見台二丁目９－１ ,神奈川県,大和市,深見台,二丁目,9,1,市立深見小学校 正門,公設,35.46761994,139.4692228
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-10,213021002,大和市大和南二丁目８－３２ ,神奈川県,大和市,大和南,二丁目,8,32,サン熱帯魚,公設,35.46646005,139.4638455
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-11,213015003,大和市深見台三丁目１ ,神奈川県,大和市,深見台,三丁目,1,,東京ガスエネルギ-㈱大和支社,公設,35.47055416,139.4680705
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-12,213015001,大和市深見台一丁目１ ,神奈川県,大和市,深見台,一丁目,1,,ダイクマ大和店,公設,35.46762909,139.4669959
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-13,213021002,大和市大和南二丁目１０－２４ ,神奈川県,大和市,大和南,二丁目,10,24,,公設,35.46468257,139.4659622
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-14,213015004,大和市深見台四丁目１５ ,神奈川県,大和市,深見台,四丁目,15,,焼肉レストラン・安楽亭,公設,35.47443635,139.4657485
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-15,213014000,大和市深見３３６７ ,神奈川県,大和市,深見,,3367,,深見神社,公設,35.46810628,139.4712638
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-16,213015002,大和市深見台二丁目９－１ ,神奈川県,大和市,深見台,二丁目,9,1,市立深見小学校　北,公設,35.46811072,139.4708018
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本書２管区,020-102-17,213014000,大和市深見３２０８ ,神奈川県,大和市,深見,,3208,,かしま２号公園,公設,35.46751862,139.472844
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署２管区,020-102-18,213020002,大和市大和東二丁目４ ,神奈川県,大和市,大和東,二丁目,4,,大和東公園,公設,35.472056,139.4611666
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-1,213013004,大和市西鶴間四丁目２ ,神奈川県,大和市,西鶴間,四丁目,2,,大和市 慰霊塔公園,公設,35.48614087,139.4493328
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-2,213001007,大和市上草柳七丁目４ ,神奈川県,大和市,上草柳,七丁目,4,,大野原小学校,公設,35.48372403,139.452418
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-3,213001008,大和市上草柳八丁目１１－１０ ,神奈川県,大和市,上草柳,八丁目,11,10,ヤマト空調(井上),公設,35.48192296,139.4478077
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-4,213003003,大和市桜森三丁目７ ,神奈川県,大和市,桜森,三丁目,7,,,公設,35.47211496,139.4402505
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-5,213003002,大和市桜森二丁目６－１４ ,神奈川県,大和市,桜森,二丁目,6,14,レゾンロイヤル相模大塚,公設,35.46972594,139.4394703
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-6,213001006,大和市上草柳六丁目１４ ,神奈川県,大和市,上草柳,六丁目,14,,丸送倉庫,公設,35.47940362,139.4497669
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-7,213003003,大和市桜森三丁目８ ,神奈川県,大和市,桜森,三丁目,8,,城南信用金庫相模大塚支店,公設,35.47139315,139.4405549
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-8,213001000,大和市上草柳１９０－５ ,神奈川県,大和市,上草柳,,190,5,,公設,35.47261184,139.4458509
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-9,213013005,大和市西鶴間五丁目１４－２ ,神奈川県,大和市,西鶴間,五丁目,14,2,,公設,35.48361508,139.443776
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-10,213001007,大和市上草柳七丁目１０－１２ ,神奈川県,大和市,上草柳,七丁目,10,12,,公設,35.48421056,139.4516797
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-11,213001000,大和市上草柳３３５－２０ ,神奈川県,大和市,上草柳,,335,20,相栄フ－ズ㈱,公設,35.47208327,139.4367727
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-12,213003003,大和市桜森三丁目９ ,神奈川県,大和市,桜森,三丁目,9,,アミティ－ライフ桜森,公設,35.47120983,139.4386798
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-13,213001009,大和市上草柳九丁目３－２ ,神奈川県,大和市,上草柳,九丁目,3,2,レオパレス鶴間第８,公設,35.47955712,139.4452038
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-14,213001000,大和市上草柳５３１－１ ,神奈川県,大和市,上草柳,,531,1,佐々木製作所,公設,35.4775559,139.4379161
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-15,213003003,大和市桜森三丁目１６－３１ ,神奈川県,大和市,桜森,三丁目,16,31,市立文ヶ岡小学校,公設,35.47402154,139.4383706
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-16,213001009,大和市上草柳九丁目１０ ,神奈川県,大和市,上草柳,九丁目,10,,子安２号公園,公設,35.48222871,139.4457468
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-17,213001000,大和市上草柳１７７７ ,神奈川県,大和市,上草柳,,10,,泉の森（古民家）,公設,35.47691046,139.4414353
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-18,213003003,大和市桜森三丁目９ ,神奈川県,大和市,桜森,三丁目,9,,桜森わいわい公園,公設,35.47214105,139.438882
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署３管区,020-103-19,213001000,大和市上草柳３５０－６ ,神奈川県,大和市,上草柳,,350,6,桜森2号公園内,公設,35.47363494,139.437302
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-1,213009003,大和市中央三丁目６－１ ,神奈川県,大和市,中央,三丁目,6,1,市立草柳小学校,公設,35.47127069,139.4557905
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-2,213009002,大和市中央二丁目６－１ ,神奈川県,大和市,中央,二丁目,6,1,フコク生命ビル,公設,35.47107173,139.4585437
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-3,213009004,大和市中央四丁目１４ ,神奈川県,大和市,中央,四丁目,14,,中央７号公園,公設,35.46929159,139.4551656
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-4,213009001,大和市中央一丁目３－１ ,神奈川県,大和市,中央,一丁目,3,1,大和ショップ,公設,35.46851697,139.4619147
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-5,213007002,大和市草柳二丁目５－５ ,神奈川県,大和市,上草柳,二丁目,5,5,草柳３号公園,公設,35.46389493,139.4574914
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-6,213009005,大和市中央五丁目１２－１１ ,神奈川県,大和市,中央,五丁目,12,11,中央５丁目自治会館,公設,35.46558809,139.458358
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-8,213009006,大和市中央六丁目９－１３ ,神奈川県,大和市,中央,六丁目,9,13,若葉会自治会館,公設,35.46091435,139.4610341
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-9,213001004,大和市上草柳四丁目２－４ ,神奈川県,大和市,上草柳,四丁目,2,4,高橋酒店,公設,35.4762559,139.4546873
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-10,213001004,大和市上草柳四丁目７ ,神奈川県,大和市,上草柳,四丁目,7,,東名大和バス停,公設,35.47868836,139.4536387
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-11,213009002,大和市中央二丁目４ ,神奈川県,大和市,中央,二丁目,4,,大和駅西口ロ－タリ－,公設,35.4705133,139.4607428
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-12,213009002,大和市中央二丁目１３－１８ ,神奈川県,大和市,中央,二丁目,13,18,サニ－ハイツ大和,公設,35.47409129,139.4585689
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-13,213001003,大和市上草柳三丁目１１－１９ ,神奈川県,大和市,上草柳,三丁目,11,19,,公設,35.47608164,139.4515397
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-14,213009003,大和市中央三丁目８－２１ ,神奈川県,大和市,中央,三丁目,8,21,ベタ－ハウス大和,公設,35.47280205,139.4566387
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-15,213009003,大和市中央三丁目８ ,神奈川県,大和市,中央,三丁目,8,,中央４号公園,公設,35.4722244,139.4565754
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-16,213009005,大和市中央五丁目９－５ ,神奈川県,大和市,中央,五丁目,9,5,やなぎ幼稚園,公設,35.46614797,139.4573986
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-17,213007001,大和市草柳一丁目２２－４ ,神奈川県,大和市,草柳,一丁目,22,4,ルックハイツ大和,公設,35.46758617,139.4536334
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-18,213009004,大和市中央四丁目５ ,神奈川県,大和市,中央,四丁目,5,,中央６号公園,公設,35.46943174,139.4579579
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-19,213007001,大和市草柳一丁目１９－１０ ,神奈川県,大和市,草柳,一丁目,19,10,大和スカイハイツ,公設,35.46571229,139.4544387
防火水槽,Watar Tank,Bōkasuisō,防火水槽,ぼうかすいそう,cistermas,消防水箱,本署,本署４管区,020-104-20,213009005,大和市中央五丁目７ ,神奈川県,大和市,中央,五丁目,7,,恒陽大和マンション,公設,35.46824976,139.4548209
